Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
512	2	5	10.6066	-0.221579	1.90799	0.972505
1024	3	23.3333	2.72166	13.3042	0.745695	0.454387
2048	2	20	7.07107	12.2816	4.35671	0.680858
4096	1	10	0	8.57375	0	1.07409
8192	1	0	0	0	0	1.21682
16384	1	0	0	0	0	1.41901
32768	1	0	0	0	0	1.05753
65536	1	0	0	0	0	2.04319
131072	1	0	0	0	0	4.17333
262144	1	0	0	0	0	8.02524
524288	1	0	0	0	0	16.4899
1048576	1	0	0	0	0	29.0553
